participantlabel,r3score
6139bb7008f1e7f556c8b7d2,17
613a32539be30e10dca2c288,16
613b007b4e9cc4ef5a63f334,19
613d0bef49567e90a537d4d1,16
6146548679f86b7cb069e7f7,16
6146f8473af59b2f858aa2f2,17
6147213e9333ddd0c65b3ed3,24
61486ad7059377d6f08fd91c,20
6148b597f5f939a93d3b9745,16
6148bbcd519a30b146897026,11
6148beccb767e62c451ce7bc,14
6148f3d1074988c7852c1774,13
61496cada4d62f06804fa610,11
6149d516a3c16102a1a816bb,12
615239af65358edf57e7a095,10
6156e5a04232a8cff11724d6,13
615875cd00a23fb41e865fc0,11
6159ffae3dec28bbdc15a715,14
615a170c6eca532c6f57e09c,16
615eca41d537883c96fc9eec,12
615f097035d3a6a38238039b,16
61673b692a55fba0f6b8abf1,20
61680035775d6be6c3034464,16
616c98c5821cbeeffb348e40,11
6171849094893d838e6e6f62,9
61bb396840db417c1a138e3d,12
61fa9085d42cb19beec4915d,18
62029a95ef1cb18a1337c695,17
622bb4f79c52ad04bb91e752,16
622f7f35376a1f92763ddbe2,5
6277dd39dea28b8907aeef70,20
6278f2c1db1a5b8b12b94a21,10
627966f3451caac7a46ca880,17
627bbdcbf1475a64687a8cec,16
628b938b2a14e5c3e9ede879,9
6294b77f8782497d0f35bd25,11
62a3be0d93b8dd1e69b4317d,5
62a6c39ce82d993784c0b352,15
62b08773cf2ee3e1920099c8,13
62b146e365eca239ef0dbbfb,13
62b1ca10f34adfd4c7a2449f,10
62b2510090c080a481c2c8ef,14
62b39c0ea0a9909088d4270f,8
62b4370c9a89e5a09c4447de,15
62b984dec02e2435d603008b,20
62c44d672834a5c5ce7362f1,9
62c7e2035db496124cf69b56,16
62c836b4ac581a6d7d8ce1ef,9
62c9ed717a2882d689eb27c1,19
62d0880f5ba6d972d1bfc63c,12
62d133496cf7f774b8bf98a0,5
62e02a2a855dd1f36566ea7a,19
62e097c92160176b0b9c2619,14
62e641e757a7c8640079fbd9,14
62e98b16791977c7b8e645b2,15
62ea57db8ebcd07b26b66eec,3
62ea886b85096aa584310ad3,12
62fb8e94ce94179d6a4e8277,20
62fbc9730a4b70bcc1c942b3,13
6310ccbda708843d8c079b6d,16
631610af8e747093cd90e00d,8
631647a0bf6e0dd403e171c2,9
637f7e8a1ba8e6e1cc969beb,14
