participantlabel,r3score
5b472672d4c93b00019bbc49,12
5b4b679dff74970001256d36,14
5b4ce4c8aad40700014ac066,16
5b5f35fe64516800018b8ed2,12
5b70d5cf48302c0001ba0771,24
5b82e33f184f45000155f0ba,13
5b94d08a41cfe90001c6a249,17
5b97f70161c19e00018db4a8,16
5b9e9390864aa900018eb8f0,17
5ba22638474398000172c47b,16
5bb356db42eb6700017d5196,4
5bb5ddb068558a000125ab50,10
5bc0941074e76c00019e9479,8
5bcbde9d08a62c0001f86bd0,17
5bd283469afb5b00015bdd5a,15
5bd2d397f92a480001c64dcb,28
5bd6c7a7abc5ee00017a5928,16
5be1b59a8425f6000141b942,16
5bed755fcca71f00014111e6,18
5bf1de1556a321000106fae0,17
5bf3150128e0b90001cabeaa,16
5c01758473cbae00010f654a,16
5c12d53683c3cb0001172e89,10
5c1655c7ad682500017070d2,17
5c1b7b36960792000195f33a,11
5c2004c3da51990001e165b2,25
5c28113978fad50001932f58,19
5c2dae2110677f0001dd1137,26
5c2ebf3e626018000134986f,4
5c345ebad4f77a0001a91ec0,19
5c376ea0eecc440001c58889,17
5c389923184bfd00010b4ce7,10
5c3c7913b4f22c0001a0809c,13
5c439193f114f2000195658e,24
5c4723041fba0b0001fca7c3,18
5c4d1a6c9ce35100019dbc88,18
5c4e38f4d3a5e300018363ba,9
5c4f5967aac8be0001716a65,13
5c51c71e556ac300018be1b7,11
5c57c06ed05b82000139682e,28
5c59c96e69dff80001306b0b,19
5c608e91001e34000145185a,18
5c61dc8d24035400014b63da,18
5c636bc3302b1e0001e69dce,18
5c651332bcb1b40001864762,18
5c762ce8eda5da001662be0b,16
5c7bc3f0ca5d980001408e36,8
5c8651b69a306000016f7c35,11
5c8e05e7aa473f00015e5fe7,11
5c9034a2eedbd9001573ca14,17
5c93bcb1b2648a0015255c4b,13
5c9e119a881e9800147050da,19
5c9f4ad2bbce4600016f3771,25
5ca102f57114700016da340d,5
5cbe1e098f939c0015c0b9d8,12
5cc86691ac689b0001118e90,12
5cca199061e0b90017809cb7,16
5cd1a622fa7c8b0001a48044,18
5cd1d1f7db7024000195cc75,20
5cdc899d48d5f100195fafff,4
5ce83f6ffdd26c00193b9611,26
5d13d6a2d4888600182efdd6,16
5d24e4ba5018e900158d31f1,21
5d30790f326b0f0017a2a828,18
5d337586669d96001cbbb059,11
5d34862748bf98000146b64f,19
5d35c29a467d18001981d677,12
5d3cc4bd1850400016d2bb66,16
5d3df3d633b894001a2596a3,9
5d514a73f20feb00160b5e0e,16
5d53ddf96937fb000171d892,10
5d5bbd713348d20019c7e832,27
5d5d65f84bd7800017a4f90e,25
5d614557fb93530016803b43,24
5d63c128888f91000176ecbc,9
5d654a1e855d77001b10dd92,17
5d67a2bf6cd320001a36cb6b,12
5d75674dc410fd000166d2f0,10
5d776e218a8d1d00166d36a6,21
5d7a1fce27fb8a000196993e,12
5d7f74f4ed58b60016490887,19
5d837955f1038a001f8d4ed6,11
5d953b22b7555900159f2913,19
5d963188ed650700146ba4b6,14
5d9750fe74d24900145633a7,11
5d9b5e2d8465bf02e1190626,16
5da0e89440b1c70014aaf74b,10
5da486f989f3800015f5a4d3,18
5da9a1659413e4001505d7f7,9
5dbf5fe16849043f135aa2c0,18
5dc97b86f375a969573c2c7a,18
5dcbcdaae41a9f869a761fef,13
5dd2d8126ac608000a330132,1
5dd31871c5faa232d3c20365,13
5dd6d2d11228d9667276c3b7,18
5dd9a7ff98981d926df9ea18,24
5dde8fba82f458000c8c7c75,15
5ddee2c82e4a05e53854a5d4,16
5de21543762dc22548c937b3,10
5de398993cf27939a25abc5f,20
5de831cad4995d000c5fb540,0
5dee11c6d35cc34acae7c301,13
5df14a70c0b81f06aea3c380,20
5e099e7f76c03b255e2b61da,12
5e0a8de6b6385332d7cae588,17
5e0f69380fb798000a199566,16
5e0fa2ede5abae000bd43bda,25
5e1b2b3e4a955b350b1e0a63,16
5e1f2837d95637258ebc9ace,9
5e222506c5b5a208addb7155,12
5e32db8f239ceb2a8e57d928,18
5e3d91a08dfa83000c9f4d36,24
5e4761e624b17f2239a6473a,13
5e493133b4bc203a048f8ce9,25
5e4eb1de8e6da203e5b070ca,6
5e53eb33ef87a902f39b1b77,24
5e62b7646cf0bf04667c8683,18
5e64f63fe8177d2669776c08,10
5e6a6d1f833f2d021f683ea7,21
5e718c86686c0c0b7759f340,24
5e789ca247422a42289e33d0,8
5e79448b2645050ebe52051c,10
5e7b804f9379140478c688da,21
5e7ca836a60b642ec70880b1,20
5e904f36cc3d6c355bbf48fa,13
5e98e245aa25c6120f522a40,20
5e9c7d2d4473501a1a826daa,18
5e9f0bc126557006ea49d1f4,16
5e9f383061281c0c4c598dc9,18
5ea051f6ef1e88000bbae035,11
5ea057b821f4e400081b71a7,22
5ea060b71ce81301340a6b64,18
5ea0627f31802801d5675c08,2
5ea19dcac30e0005e6e6b6e3,13
5ea2ac265b40e81cfe8296ea,12
5ea433f82992293d5e604ad1,14
5ea96c415a6a4e068b6d1e84,17
5ea979685178b007c99e620e,11
5eaae0b28ba2df0570296c3a,14
5eabf74457f54b1ec1692eeb,8
5eac3c1950fecd25d2d6d5ed,17
5eadb9ba99443b0a80211eaa,19
5eb0598b718c920e386736cd,18
5eb29fdddac67500082c1089,9
5ebb26c872b18c0f47c14bb4,16
5ebebcf619a604258a233c4f,8
5ec79cbd44972a1fceed2719,10
5ecc6ffce3ca77849333e83e,16
5ed7a6ffc0996607d735bd66,8
5edeea354d54cb1a825aa8f9,10
5ee0df4ff87654455ad1cb9a,11
5ee10c33a3011311034f2cb1,4
5ee1311e3348314f4f4a8d30,8
5ee22888962eba660d273581,11
5ee267c69586fe718ee7c582,16
5ee55d2d0eccfc2a733ad0db,28
5ee7606915ecab01d42ddde6,18
5eecb9e2c93c1e0677084323,16
5eed39d96b25b8147870a324,20
5eef7517c8692d20c3279493,0
5ef37e2ca184db0e6896d19b,9
5ef52a87f04c781600ae4114,26
5ef7c6094ffead5091899f98,19
5f02f1d7afde3746b6ce5117,19
5f061f46dc944614ea1be5b9,13
5f0736cfad4f1e0c3c838655,21
5f09db2ef3557806b03a9b8b,12
5f0b339b48213f430a2e548d,19
5f0e9896f5e4e11e12c8f5ac,18
5f1072dbfd703f084bb995f7,17
5f1c29f047a90a049690ef7e,12
5f232c73d12b450ca5c68c76,16
5f3a94e729c8456caba57036,14
5f3bc91327d97393a0c56178,16
5f4d968cacc80fa73143cdf3,30
5f51529b15e36638fe535eae,24
5f51947ba90f9b3ea1d2fe61,17
5f53be789fbb966fe0d97f07,13
5f5619f562b184a17775b3d5,15
5f58a4009e4e760112ac30d7,8
5f5a58d01989290efa8e09bb,9
5f622fbe1fbbd21051cb28b3,13
5f68c1702f31dc032ac57b43,8
5f6c9d2ec9a73b06b88f19c2,11
5f6cfa7d98818114a0d8d75e,17
5f6dfe80423f152bb7a96a6f,17
5f6e71ea9dd5cb3b2bdb45b6,14
5f6e76757befe43b22307387,22
5f6f6363bc475b4ef318efb8,18
5f74c371cf5ee90cf77e175e,25
5f79bca83a2eb65c0983816d,15
5f7d026c6fd2421d2dc1af04,9
5f8de19aaf4fc8163abd08f9,5
5f8ef8e63fdd230d00f5d0e4,12
